SNAPSHOT 0: [89.0, 91.0, 93.1, 89.9]: 8589934592, cpu_percents(2246565888) 6343368704, 4344422400, sdiskio(read_count=14805874, write_count=2524725, read_bytes=217623607296, write_bytes=68550852608, read_time=3446500, write_time=600781), snetio(bytes_sent=446228914, bytes_recv=6862255861, packets_sent=3008967, packets_recv=6735424, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 1: [17.0, 7.9, 13.9, 5.0]: 8589934592, cpu_percents(2250780672) 6339153920, 4327952384, sdiskio(read_count=14806393, write_count=2524900, read_bytes=217629710336, write_bytes=68552519680, read_time=3446584, write_time=600793), snetio(bytes_sent=446230432, bytes_recv=6862258130, packets_sent=3008985, packets_recv=6735448, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 2: [20.8, 7.0, 19.6, 6.9]: 8589934592, cpu_percents(2284302336) 6305632256, 4295860224, sdiskio(read_count=14806536, write_count=2525047, read_bytes=217631258624, write_bytes=68554383360, read_time=3446609, write_time=600807), snetio(bytes_sent=446255113, bytes_recv=6862283405, packets_sent=3009141, packets_recv=6735608, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 3: [15.0, 6.0, 15.2, 4.0]: 8589934592, cpu_percents(2328182784) 6261751808, 4253798400, sdiskio(read_count=14806667, write_count=2525229, read_bytes=217633228800, write_bytes=68557852672, read_time=3446637, write_time=600825), snetio(bytes_sent=446259793, bytes_recv=6862295444, packets_sent=3009168, packets_recv=6735644, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 4: [93.0, 88.9, 92.0, 90.9]: 8589934592, cpu_percents(2221187072) 6368747520, 4357365760, sdiskio(read_count=14807072, write_count=2525515, read_bytes=217639966720, write_bytes=68560175104, read_time=3446706, write_time=600846), snetio(bytes_sent=446260866, bytes_recv=6862297740, packets_sent=3009179, packets_recv=6735658, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 5: [34.7, 10.0, 27.3, 9.0]: 8589934592, cpu_percents(2246619136) 6343315456, 4332724224, sdiskio(read_count=14807224, write_count=2525528, read_bytes=217642035200, write_bytes=68560740352, read_time=3446735, write_time=600853), snetio(bytes_sent=446272864, bytes_recv=6862309410, packets_sent=3009247, packets_recv=6735735, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 6: [38.2, 21.8, 33.7, 20.0]: 8589934592, cpu_percents(2303856640) 6286077952, 4273434624, sdiskio(read_count=14807433, write_count=2525660, read_bytes=217651738624, write_bytes=68564619264, read_time=3446782, write_time=600867), snetio(bytes_sent=446290752, bytes_recv=6862333606, packets_sent=3009359, packets_recv=6735857, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 7: [17.0, 6.0, 15.8, 4.0]: 8589934592, cpu_percents(2268008448) 6321926144, 4237238272, sdiskio(read_count=14809437, write_count=2526001, read_bytes=217678333952, write_bytes=68566540288, read_time=3447101, write_time=600886), snetio(bytes_sent=446291935, bytes_recv=6862338227, packets_sent=3009368, packets_recv=6735882, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 8: [26.0, 9.9, 23.8, 7.0]: 8589934592, cpu_percents(2292346880) 6297587712, 4214157312, sdiskio(read_count=14809446, write_count=2526006, read_bytes=217678407680, write_bytes=68566560768, read_time=3447106, write_time=600890), snetio(bytes_sent=446292055, bytes_recv=6862338538, packets_sent=3009371, packets_recv=6735886, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 9: [33.0, 15.8, 29.3, 13.0]: 8589934592, cpu_percents(2224861184) 6365073408, 4281528320, sdiskio(read_count=14809467, write_count=2526263, read_bytes=217679296512, write_bytes=68568133632, read_time=3447115, write_time=600906), snetio(bytes_sent=446320526, bytes_recv=6862366348, packets_sent=3009530, packets_recv=6736053, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 10: [16.2, 6.0, 15.0, 4.0]: 8589934592, cpu_percents(2443800576) 6146072576, 4372205568, sdiskio(read_count=14809640, write_count=2527238, read_bytes=217682135040, write_bytes=68808327168, read_time=3447148, write_time=602136), snetio(bytes_sent=446324811, bytes_recv=6862369885, packets_sent=3009544, packets_recv=6736075, errin=0, errout=0, dropin=0, dropout=0)
